pg_txn_id,approval_no,order_id,merchant_no,approved_at,amount,fee,net_amount,status,method,card_bin
KPAY2026090400024,A90400024,ORD90400024,KPAY-001,2026-09-04 01:22:34,49000,0,49000,PAID,CARD,456547
KPAY2026090400025,A90400025,ORD90400025,KPAY-001,2026-09-04 19:44:15,50800,0,50800,PAID,CARD,457577
KPAY2026090400026,A90400026,ORD90400026,KPAY-001,2026-09-04 23:35:20,34100,0,34100,PAID,CARD,457707
KPAY2026090400027,A90400027,ORD90400027,KPAY-001,2026-09-04 02:43:34,15900,0,15900,PAID,CARD,457327
KPAY2026090400028,A90400028,ORD90400028,KPAY-001,2026-09-04 12:14:09,16800,0,16800,PAID,CARD,456287
KPAY2026090400029,A90400029,ORD90400029,KPAY-001,2026-09-04 14:59:27,10300,0,10300,PAID,CARD,457350
KPAY2026090400030,A90400030,ORD90400030,KPAY-001,2026-09-04 04:50:50,79300,0,79300,PAID,CARD,457384
KPAY2026090400031,A90400031,ORD90400031,KPAY-001,2026-09-04 01:05:36,49000,0,49000,PAID,CARD,456160
KPAY2026090400032,A90400032,ORD90400032,KPAY-001,2026-09-04 10:38:37,23800,0,23800,PAID,CARD,454491
KPAY2026090400033,A90400033,ORD90400033,KPAY-001,2026-09-04 09:04:44,129900,0,129900,PAID,CARD,454618
KPAY2026090400034,A90400034,ORD90400034,KPAY-001,2026-09-04 07:37:14,78000,0,78000,PAID,CARD,458292
KPAY2026090400035,A90400035,ORD90400035,KPAY-001,2026-09-04 03:51:43,50700,0,50700,PAID,CARD,453440
KPAY2026090400036,A90400036,ORD90400036,KPAY-001,2026-09-04 03:45:18,33000,0,33000,PAID,CARD,452179
KPAY2026090400037,A90400037,ORD90400037,KPAY-001,2026-09-04 23:48:48,16500,0,16500,PAID,CARD,455081
KPAY2026090400038,A90400038,ORD90400038,KPAY-001,2026-09-04 00:55:24,250800,0,250800,PAID,CARD,451777
KPAY2026090400039,A90400039,ORD90400039,KPAY-001,2026-09-04 06:56:32,11600,0,11600,PAID,CARD,451504
KPAY2026090400040,A90400040,ORD90400040,KPAY-001,2026-09-04 02:23:49,15800,0,15800,PAID,CARD,459532
KPAY2026090400041,A90400041,ORD90400041,KPAY-001,2026-09-04 23:36:12,23100,0,23100,PAID,CARD,459342
KPAY2026090400042,A90400042,ORD90400042,KPAY-001,2026-09-04 02:40:29,33200,0,33200,PAID,CARD,458380
KPAY2026090400043,A90400043,ORD90400043,KPAY-001,2026-09-04 08:27:02,24100,0,24100,PAID,CARD,455409
KPAY2026090400044,A90400044,ORD90400044,KPAY-001,2026-09-04 04:49:51,50400,0,50400,PAID,CARD,451068
KPAY2026090400045,A90400045,ORD90400045,KPAY-001,2026-09-04 14:06:35,34200,0,34200,PAID,CARD,454380
KPAY2026090400046,A90400046,ORD90400046,KPAY-001,2026-09-04 23:36:23,78700,0,78700,REFUND,CARD,455304
KPAY2026090400047,A90400047,ORD90400047,KPAY-001,2026-09-04 15:32:41,24400,0,24400,PAID,CARD,458772
KPAY2026090400048,A90400048,ORD90400048,KPAY-001,2026-09-04 14:00:38,251500,0,251500,PAID,CARD,457133
KPAY2026090400049,A90400049,ORD90400049,KPAY-001,2026-09-04 07:40:08,49400,0,49400,PAID,CARD,451731
KPAY2026090400050,A90400050,ORD90400050,KPAY-001,2026-09-04 02:34:45,34700,0,34700,PAID,CARD,458683
KPAY2026090400051,A90400051,ORD90400051,KPAY-001,2026-09-04 21:20:37,16700,0,16700,PAID,CARD,458544
KPAY2026090400052,A90400052,ORD90400052,KPAY-001,2026-09-04 05:36:38,11600,0,11600,PAID,CARD,452906
KPAY2026090400053,A90400053,ORD90400053,KPAY-001,2026-09-04 15:36:28,10500,0,10500,PAID,CARD,452583
KPAY2026090400054,A90400054,ORD90400054,KPAY-001,2026-09-04 13:52:04,49100,0,49100,PAID,CARD,456069
KPAY2026090400055,A90400055,ORD90400055,KPAY-001,2026-09-04 23:58:49,50800,0,50800,PAID,CARD,452859
KPAY2026090400056,A90400056,ORD90400056,KPAY-001,2026-09-04 08:07:34,23400,0,23400,PAID,CARD,451279
KPAY2026090400057,A90400057,ORD90400057,KPAY-001,2026-09-04 03:38:02,79100,0,79100,PAID,CARD,456034
KPAY2026090400058,A90400058,ORD90400058,KPAY-001,2026-09-04 02:56:41,50100,0,50100,PAID,CARD,455881
KPAY2026090400059,A90400059,ORD90400059,KPAY-001,2026-09-04 16:53:27,130400,0,130400,PAID,CARD,452751
KPAY2026090400060,A90400060,ORD90400060,KPAY-001,2026-09-04 12:09:25,78700,0,78700,PAID,CARD,456750
KPAY2026090400061,A90400061,ORD90400061,KPAY-001,2026-09-04 23:36:50,15600,0,15600,REFUND,CARD,452276
KPAY2026090400062,A90400062,ORD90400062,KPAY-001,2026-09-04 22:31:12,79700,0,79700,PAID,CARD,451536
KPAY2026090400063,A90400063,ORD90400063,KPAY-001,2026-09-04 01:50:33,34300,0,34300,PAID,CARD,458198
KPAY2026090400064,A90400064,ORD90400064,KPAY-001,2026-09-04 23:45:09,23300,0,23300,PAID,CARD,459947
KPAY2026090400065,A90400065,ORD90400065,KPAY-001,2026-09-04 19:41:46,10800,0,10800,PAID,CARD,458748
KPAY2026090400066,A90400066,ORD90400066,KPAY-001,2026-09-04 12:38:09,129700,0,129700,PAID,CARD,455549
KPAY2026090400067,A90400067,ORD90400067,KPAY-001,2026-09-04 22:19:58,79100,0,79100,PAID,CARD,451031
KPAY2026090400068,A90400068,ORD90400068,KPAY-001,2026-09-04 22:09:13,16100,0,16100,PAID,CARD,454657
KPAY2026090400069,A90400069,ORD90400069,KPAY-001,2026-09-04 13:26:16,10600,0,10600,PAID,CARD,451378
KPAY2026090400070,A90400070,ORD90400070,KPAY-001,2026-09-04 22:40:42,10500,0,10500,PAID,CARD,455464
KPAY2026090400071,A90400071,ORD90400071,KPAY-001,2026-09-04 08:29:08,16500,0,16500,PAID,CARD,452668
KPAY2026090400072,A90400072,ORD90400072,KPAY-001,2026-09-04 21:46:13,24000,0,24000,PAID,CARD,453116
KPAY2026090400073,A90400073,ORD90400073,KPAY-001,2026-09-04 14:09:24,11000,0,11000,PAID,CARD,455973
KPAY2026090400074,A90400074,ORD90400074,KPAY-001,2026-09-04 23:57:58,49600,0,49600,PAID,CARD,455742
KPAY2026090400075,A90400075,ORD90400075,KPAY-001,2026-09-04 11:14:31,50800,0,50800,PAID,CARD,453830
KPAY2026090400076,A90400076,ORD90400076,KPAY-001,2026-09-04 00:20:12,251300,0,251300,PAID,CARD,453805
KPAY2026090400077,A90400077,ORD90400077,KPAY-001,2026-09-04 23:59:20,16700,0,16700,PAID,CARD,451826
KPAY2026090400078,A90400078,ORD90400078,KPAY-001,2026-09-04 22:04:11,15800,0,15800,PAID,CARD,451735
KPAY2026090400079,A90400079,ORD90400079,KPAY-001,2026-09-04 15:43:12,251900,0,251900,REFUND,CARD,458793
KPAY2026090400080,A90400080,ORD90400080,KPAY-001,2026-09-04 07:04:36,11800,0,11800,PAID,CARD,456800
KPAY2026090400081,A90400081,ORD90400081,KPAY-001,2026-09-04 23:53:18,11200,0,11200,PAID,CARD,457816
KPAY2026090400082,A90400082,ORD90400082,KPAY-001,2026-09-04 20:54:34,16500,0,16500,PAID,CARD,454416
KPAY2026090400083,A90400083,ORD90400083,KPAY-001,2026-09-04 03:38:04,50600,0,50600,PAID,CARD,459720
KPAY2026090400084,A90400084,ORD90400084,KPAY-001,2026-09-04 08:09:28,16100,0,16100,PAID,CARD,457368
KPAY2026090400085,A90400085,ORD90400085,KPAY-001,2026-09-04 23:48:52,33300,0,33300,REFUND,CARD,457154
KPAY2026090400086,A90400086,ORD90400086,KPAY-001,2026-09-04 17:41:30,50500,0,50500,REFUND,CARD,452871
KPAY2026090400087,A90400087,ORD90400087,KPAY-001,2026-09-04 14:04:40,130700,0,130700,PAID,CARD,453825
KPAY2026090400088,A90400088,ORD90400088,KPAY-001,2026-09-04 06:41:12,10700,0,10700,PAID,CARD,456578
KPAY2026090400089,A90400089,ORD90400089,KPAY-001,2026-09-04 08:35:03,15400,0,15400,PAID,CARD,455268
KPAY2026090400090,A90400090,ORD90400090,KPAY-001,2026-09-04 15:47:54,130300,0,130300,PAID,CARD,452957
KPAY2026090400091,A90400091,ORD90400091,KPAY-001,2026-09-04 23:36:57,34600,0,34600,PAID,CARD,451299
KPAY2026090400092,A90400092,ORD90400092,KPAY-001,2026-09-04 05:30:54,33700,0,33700,PAID,CARD,456143
KPAY2026090400093,A90400093,ORD90400093,KPAY-001,2026-09-04 10:15:15,33100,0,33100,PAID,CARD,459013
KPAY2026090400094,A90400094,ORD90400094,KPAY-001,2026-09-04 11:23:01,251900,0,251900,PAID,CARD,455224
KPAY2026090400095,A90400095,ORD90400095,KPAY-001,2026-09-04 23:41:12,78100,0,78100,PAID,CARD,452378
KPAY2026090400096,A90400096,ORD90400096,KPAY-001,2026-09-04 21:12:00,251900,0,251900,PAID,CARD,455240
KPAY2026090400097,A90400097,ORD90400097,KPAY-001,2026-09-04 07:31:23,250300,0,250300,PAID,CARD,457402
KPAY2026090400098,A90400098,ORD90400098,KPAY-001,2026-09-04 23:40:12,11600,0,11600,PAID,CARD,459729
KPAY2026090400099,A90400099,ORD90400099,KPAY-001,2026-09-04 12:08:43,130900,0,130900,PAID,CARD,452349
KPAY2026090400100,A90400100,ORD90400100,KPAY-001,2026-09-04 17:06:10,10100,0,10100,PAID,CARD,451966
KPAY2026090400101,A90400101,ORD90400101,KPAY-001,2026-09-04 23:44:14,11600,0,11600,PAID,CARD,452367
KPAY2026090400102,A90400102,ORD90400102,KPAY-001,2026-09-04 13:56:20,16900,0,16900,PAID,CARD,457877
KPAY2026090400103,A90400103,ORD90400103,KPAY-001,2026-09-04 19:04:53,11800,0,11800,PAID,CARD,453580
KPAY2026090400104,A90400104,ORD90400104,KPAY-001,2026-09-04 16:39:54,16300,0,16300,REFUND,CARD,452943
KPAY2026090400105,A90400105,ORD90400105,KPAY-001,2026-09-04 21:16:30,251800,0,251800,PAID,CARD,454244
KPAY2026090400106,A90400106,ORD90400106,KPAY-001,2026-09-04 23:40:00,10200,0,10200,PAID,CARD,456685
KPAY2026090400107,A90400107,ORD90400107,KPAY-001,2026-09-04 20:17:28,130000,0,130000,REFUND,CARD,455017
KPAY2026090400108,A90400108,ORD90400108,KPAY-001,2026-09-04 04:15:23,49900,0,49900,PAID,CARD,459059
KPAY2026090400109,A90400109,ORD90400109,KPAY-001,2026-09-04 11:49:14,78000,0,78000,PAID,CARD,455098
KPAY2026090400110,A90400110,ORD90400110,KPAY-001,2026-09-04 01:47:10,10600,0,10600,PAID,CARD,453575
KPAY2026090400111,A90400111,ORD90400111,KPAY-001,2026-09-04 17:09:08,10300,0,10300,PAID,CARD,453610
KPAY2026090400112,A90400112,ORD90400112,KPAY-001,2026-09-04 08:11:14,251000,0,251000,PAID,CARD,456299
KPAY2026090400113,A90400113,ORD90400113,KPAY-001,2026-09-04 01:32:22,15400,0,15400,PAID,CARD,458776
KPAY2026090400114,A90400114,ORD90400114,KPAY-001,2026-09-04 01:06:10,10300,0,10300,PAID,CARD,457670
KPAY2026090400115,A90400115,ORD90400115,KPAY-001,2026-09-04 23:38:16,16300,0,16300,PAID,CARD,458309
KPAY2026090400116,A90400116,ORD90400116,KPAY-001,2026-09-04 09:01:10,16000,0,16000,PAID,CARD,452743
KPAY2026090400117,A90400117,ORD90400117,KPAY-001,2026-09-04 05:51:40,130400,0,130400,REFUND,CARD,457685
KPAY2026090400118,A90400118,ORD90400118,KPAY-001,2026-09-04 21:05:04,49800,0,49800,PAID,CARD,454346
KPAY2026090400119,A90400119,ORD90400119,KPAY-001,2026-09-04 10:02:37,10500,0,10500,PAID,CARD,454937
KPAY2026090400120,A90400120,ORD90400120,KPAY-001,2026-09-04 11:10:34,251200,0,251200,PAID,CARD,458345
KPAY2026090400121,A90400121,ORD90400121,KPAY-001,2026-09-04 23:36:05,49900,0,49900,PAID,CARD,457593
KPAY2026090400122,A90400122,ORD90400122,KPAY-001,2026-09-04 23:32:51,16500,0,16500,PAID,CARD,455645
KPAY2026090400123,A90400123,ORD90400123,KPAY-001,2026-09-04 09:49:23,129600,0,129600,PAID,CARD,458943
KPAY2026090400124,A90400124,ORD90400124,KPAY-001,2026-09-04 23:39:40,16800,0,16800,PAID,CARD,455304
KPAY2026090400125,A90400125,ORD90400125,KPAY-001,2026-09-04 12:24:47,251800,0,251800,PAID,CARD,456630
KPAY2026090400126,A90400126,ORD90400126,KPAY-001,2026-09-04 15:52:25,79100,0,79100,PAID,CARD,453129
KPAY2026090400127,A90400127,ORD90400127,KPAY-001,2026-09-04 23:48:37,11300,0,11300,PAID,CARD,453250
KPAY2026090400128,A90400128,ORD90400128,KPAY-001,2026-09-04 07:12:17,49200,0,49200,PAID,CARD,457177
KPAY2026090400129,A90400129,ORD90400129,KPAY-001,2026-09-04 06:34:07,79900,0,79900,PAID,CARD,455477
KPAY2026090400130,A90400130,ORD90400130,KPAY-001,2026-09-04 23:41:24,16500,0,16500,PAID,CARD,452878
KPAY2026090400131,A90400131,ORD90400131,KPAY-001,2026-09-04 09:00:38,15700,0,15700,PAID,CARD,456018
KPAY2026090400132,A90400132,ORD90400132,KPAY-001,2026-09-04 03:44:38,79500,0,79500,PAID,CARD,454365
KPAY2026090400133,A90400133,ORD90400133,KPAY-001,2026-09-04 21:59:23,250600,0,250600,PAID,CARD,453826
KPAY2026090400134,A90400134,ORD90400134,KPAY-001,2026-09-04 04:40:08,250300,0,250300,PAID,CARD,452094
KPAY2026090400135,A90400135,ORD90400135,KPAY-001,2026-09-04 08:05:41,50600,0,50600,PAID,CARD,452538
KPAY2026090400136,A90400136,ORD90400136,KPAY-001,2026-09-04 03:02:23,251300,0,251300,PAID,CARD,457868
KPAY2026090400137,A90400137,ORD90400137,KPAY-001,2026-09-04 20:11:50,24200,0,24200,PAID,CARD,456565
KPAY2026090400138,A90400138,ORD90400138,KPAY-001,2026-09-04 20:26:50,11400,0,11400,PAID,CARD,453042
KPAY2026090400139,A90400139,ORD90400139,KPAY-001,2026-09-04 11:34:29,24700,0,24700,PAID,CARD,452148
KPAY2026090400140,A90400140,ORD90400140,KPAY-001,2026-09-04 09:28:48,16200,0,16200,PAID,CARD,453923
KPAY2026090400141,A90400141,ORD90400141,KPAY-001,2026-09-04 14:17:46,49000,0,49000,PAID,CARD,452942
KPAY2026090400142,A90400142,ORD90400142,KPAY-001,2026-09-04 02:06:26,11400,0,11400,PAID,CARD,454982
KPAY2026090400143,A90400143,ORD90400143,KPAY-001,2026-09-04 23:42:12,129400,0,129400,PAID,CARD,459606
KPAY2026090400144,A90400144,ORD90400144,KPAY-001,2026-09-04 10:55:47,49600,0,49600,PAID,CARD,454381
KPAY2026090400145,A90400145,ORD90400145,KPAY-001,2026-09-04 21:33:11,15800,0,15800,PAID,CARD,457291
KPAY2026090400146,A90400146,ORD90400146,KPAY-001,2026-09-04 23:43:21,24100,0,24100,REFUND,CARD,454999
KPAY2026090400147,A90400147,ORD90400147,KPAY-001,2026-09-04 12:29:01,78700,0,78700,PAID,CARD,452935
KPAY2026090400148,A90400148,ORD90400148,KPAY-001,2026-09-04 11:37:45,79300,0,79300,PAID,CARD,459485
KPAY2026090400149,A90400149,ORD90400149,KPAY-001,2026-09-04 01:33:12,251000,0,251000,PAID,CARD,459678
KPAY2026090400150,A90400150,ORD90400150,KPAY-001,2026-09-04 10:48:04,129700,0,129700,PAID,CARD,456795
KPAY2026090400151,A90400151,ORD90400151,KPAY-001,2026-09-04 02:34:48,49500,0,49500,PAID,CARD,451208
KPAY2026090400152,A90400152,ORD90400152,KPAY-001,2026-09-04 05:13:45,250200,0,250200,PAID,CARD,452966
KPAY2026090400153,A90400153,ORD90400153,KPAY-001,2026-09-04 22:14:48,250800,0,250800,PAID,CARD,451539
KPAY2026090400154,A90400154,ORD90400154,KPAY-001,2026-09-04 11:41:33,34400,0,34400,PAID,CARD,451441
KPAY2026090400155,A90400155,ORD90400155,KPAY-001,2026-09-04 00:48:33,130700,0,130700,PAID,CARD,451027
KPAY2026090400156,A90400156,ORD90400156,KPAY-001,2026-09-04 02:35:40,23900,0,23900,PAID,CARD,457259
KPAY2026090400157,A90400157,ORD90400157,KPAY-001,2026-09-04 10:32:25,34500,0,34500,PAID,CARD,456084
KPAY2026090400158,A90400158,ORD90400158,KPAY-001,2026-09-04 01:56:06,251300,0,251300,PAID,CARD,459842
KPAY2026090400159,A90400159,ORD90400159,KPAY-001,2026-09-04 14:30:55,16300,0,16300,REFUND,CARD,454756
KPAY2026090400160,A90400160,ORD90400160,KPAY-001,2026-09-04 12:04:53,130300,0,130300,PAID,CARD,459842
KPAY2026090400161,A90400161,ORD90400161,KPAY-001,2026-09-04 23:35:54,16200,0,16200,PAID,CARD,454556
KPAY2026090400162,A90400162,ORD90400162,KPAY-001,2026-09-04 02:17:15,33800,0,33800,PAID,CARD,458545
KPAY2026090400163,A90400163,ORD90400163,KPAY-001,2026-09-04 01:47:34,9900,0,9900,PAID,CARD,456674
KPAY2026090400164,A90400164,ORD90400164,KPAY-001,2026-09-04 19:11:31,15700,0,15700,PAID,CARD,457720
KPAY2026090400165,A90400165,ORD90400165,KPAY-001,2026-09-04 02:22:28,34300,0,34300,PAID,CARD,455499
KPAY2026090400166,A90400166,ORD90400166,KPAY-001,2026-09-04 10:33:15,251100,0,251100,PAID,CARD,452218
KPAY2026090400167,A90400167,ORD90400167,KPAY-001,2026-09-04 09:48:47,16100,0,16100,PAID,CARD,458646
KPAY2026090400168,A90400168,ORD90400168,KPAY-001,2026-09-04 23:54:32,251400,0,251400,PAID,CARD,451970
KPAY2026090400169,A90400169,ORD90400169,KPAY-001,2026-09-04 04:59:59,251300,0,251300,PAID,CARD,458824
KPAY2026090400170,A90400170,ORD90400170,KPAY-001,2026-09-04 20:54:33,15200,0,15200,PAID,CARD,455723
KPAY2026090400171,A90400171,ORD90400171,KPAY-001,2026-09-04 23:47:10,251600,0,251600,PAID,CARD,453362
KPAY2026090400172,A90400172,ORD90400172,KPAY-001,2026-09-04 20:17:36,50200,0,50200,PAID,CARD,457928
KPAY2026090400173,A90400173,ORD90400173,KPAY-001,2026-09-04 23:42:43,78200,0,78200,PAID,CARD,456347
KPAY2026090400174,A90400174,ORD90400174,KPAY-001,2026-09-04 14:21:42,10900,0,10900,PAID,CARD,454970
KPAY2026090400175,A90400175,ORD90400175,KPAY-001,2026-09-04 15:43:00,130800,0,130800,PAID,CARD,451097
KPAY2026090400176,A90400176,ORD90400176,KPAY-001,2026-09-04 20:34:35,15400,0,15400,PAID,CARD,451018
KPAY2026090400177,A90400177,ORD90400177,KPAY-001,2026-09-04 23:58:33,49900,0,49900,PAID,CARD,458982
KPAY2026090400178,A90400178,ORD90400178,KPAY-001,2026-09-04 23:40:03,16000,0,16000,PAID,CARD,458153
KPAY2026090400179,A90400179,ORD90400179,KPAY-001,2026-09-04 09:35:34,79300,0,79300,PAID,CARD,458560
KPAY2026090400180,A90400180,ORD90400180,KPAY-001,2026-09-04 23:54:11,11700,0,11700,PAID,CARD,456189
KPAY2026090400181,A90400181,ORD90400181,KPAY-001,2026-09-04 23:50:09,23700,0,23700,PAID,CARD,457411
KPAY2026090400182,A90400182,ORD90400182,KPAY-001,2026-09-04 17:19:48,50400,0,50400,PAID,CARD,452526
KPAY2026090400183,A90400183,ORD90400183,KPAY-001,2026-09-04 02:49:15,50700,0,50700,PAID,CARD,453387
KPAY2026090400184,A90400184,ORD90400184,KPAY-001,2026-09-04 23:59:04,129900,0,129900,PAID,CARD,459864
KPAY2026090400185,A90400185,ORD90400185,KPAY-001,2026-09-04 23:54:46,16200,0,16200,PAID,CARD,457478
KPAY2026090400186,A90400186,ORD90400186,KPAY-001,2026-09-04 23:38:31,251600,0,251600,PAID,CARD,454375
KPAY2026090400187,A90400187,ORD90400187,KPAY-001,2026-09-04 00:47:45,23200,0,23200,PAID,CARD,456426
KPAY2026090400188,A90400188,ORD90400188,KPAY-001,2026-09-04 21:16:50,15700,0,15700,REFUND,CARD,457181
KPAY2026090400189,A90400189,ORD90400189,KPAY-001,2026-09-04 19:30:45,10300,0,10300,PAID,CARD,458753
KPAY2026090400190,A90400190,ORD90400190,KPAY-001,2026-09-04 12:49:59,15700,0,15700,PAID,CARD,455102
KPAY2026090400191,A90400191,ORD90400191,KPAY-001,2026-09-04 06:27:53,24000,0,24000,PAID,CARD,454582
KPAY2026090400192,A90400192,ORD90400192,KPAY-001,2026-09-04 05:57:51,250000,0,250000,PAID,CARD,451390
KPAY2026090400193,A90400193,ORD90400193,KPAY-001,2026-09-04 18:51:26,50900,0,50900,PAID,CARD,459537
KPAY2026090400194,A90400194,ORD90400194,KPAY-001,2026-09-04 18:39:57,15500,0,15500,PAID,CARD,459040
KPAY2026090400195,A90400195,ORD90400195,KPAY-001,2026-09-04 17:21:34,250900,0,250900,PAID,CARD,459880
KPAY2026090400196,A90400196,ORD90400196,KPAY-001,2026-09-04 11:17:23,130500,0,130500,PAID,CARD,452438
KPAY2026090400197,A90400197,ORD90400197,KPAY-001,2026-09-04 23:46:49,33400,0,33400,REFUND,CARD,457953
KPAY2026090400198,A90400198,ORD90400198,KPAY-001,2026-09-04 22:34:41,24700,0,24700,PAID,CARD,453431
KPAY2026090400199,A90400199,ORD90400199,KPAY-001,2026-09-04 23:38:05,129600,0,129600,PAID,CARD,456666
KPAY2026090400200,A90400200,ORD90400200,KPAY-001,2026-09-04 06:24:28,16900,0,16900,PAID,CARD,457248
KPAY2026090400201,A90400201,ORD90400201,KPAY-001,2026-09-04 12:58:09,251400,0,251400,PAID,CARD,458964
KPAY2026090400202,A90400202,ORD90400202,KPAY-001,2026-09-04 23:49:53,10700,0,10700,PAID,CARD,454509
KPAY2026090400203,A90400203,ORD90400203,KPAY-001,2026-09-04 07:53:49,251400,0,251400,PAID,CARD,458253
KPAY2026090400204,A90400204,ORD90400204,KPAY-001,2026-09-04 19:44:29,33200,0,33200,PAID,CARD,455180
KPAY2026090400205,A90400205,ORD90400205,KPAY-001,2026-09-04 23:40:18,23800,0,23800,PAID,CARD,458698
KPAY2026090400206,A90400206,ORD90400206,KPAY-001,2026-09-04 23:56:50,15100,0,15100,PAID,CARD,451764
KPAY2026090400207,A90400207,ORD90400207,KPAY-001,2026-09-04 10:54:11,78000,0,78000,PAID,CARD,452700
KPAY2026090400208,A90400208,ORD90400208,KPAY-001,2026-09-04 23:41:09,129100,0,129100,PAID,CARD,455869
KPAY2026090400209,A90400209,ORD90400209,KPAY-001,2026-09-04 02:59:16,15600,0,15600,PAID,CARD,457050
KPAY2026090400210,A90400210,ORD90400210,KPAY-001,2026-09-04 02:39:44,49200,0,49200,PAID,CARD,457409
KPAY2026090400211,A90400211,ORD90400211,KPAY-001,2026-09-04 16:32:08,10500,0,10500,PAID,CARD,458016
KPAY2026090400212,A90400212,ORD90400212,KPAY-001,2026-09-04 01:39:38,130200,0,130200,PAID,CARD,453429
KPAY2026090400213,A90400213,ORD90400213,KPAY-001,2026-09-04 07:45:42,16000,0,16000,PAID,CARD,452083
KPAY2026090400214,A90400214,ORD90400214,KPAY-001,2026-09-04 16:21:27,16100,0,16100,PAID,CARD,454661
KPAY2026090400215,A90400215,ORD90400215,KPAY-001,2026-09-04 05:58:20,251800,0,251800,PAID,CARD,451072
KPAY2026090400216,A90400216,ORD90400216,KPAY-001,2026-09-04 13:10:09,250400,0,250400,PAID,CARD,454718
KPAY2026090400217,A90400217,ORD90400217,KPAY-001,2026-09-04 16:12:42,10300,0,10300,PAID,CARD,456493
KPAY2026090400218,A90400218,ORD90400218,KPAY-001,2026-09-04 20:13:39,79300,0,79300,PAID,CARD,455746
KPAY2026090400219,A90400219,ORD90400219,KPAY-001,2026-09-04 22:07:35,49000,0,49000,PAID,CARD,457959
KPAY2026090400220,A90400220,ORD90400220,KPAY-001,2026-09-04 02:06:43,50300,0,50300,PAID,CARD,455216
KPAY2026090400221,A90400221,ORD90400221,KPAY-001,2026-09-04 22:29:49,129900,0,129900,PAID,CARD,457092
KPAY2026090400222,A90400222,ORD90400222,KPAY-001,2026-09-04 15:14:49,10900,0,10900,PAID,CARD,452114
KPAY2026090400223,A90400223,ORD90400223,KPAY-001,2026-09-04 23:32:30,23500,0,23500,PAID,CARD,454479
KPAY2026090400224,A90400224,ORD90400224,KPAY-001,2026-09-04 08:05:31,78400,0,78400,PAID,CARD,457499
KPAY2026090400225,A90400225,ORD90400225,KPAY-001,2026-09-04 10:22:58,24500,0,24500,PAID,CARD,455118
KPAY2026090400226,A90400226,ORD90400226,KPAY-001,2026-09-04 23:33:51,79200,0,79200,PAID,CARD,452618
