TID,APPR_NO,ORD_NO,MID,TRAN_DTTM,AMT,FEE_AMT,NET_AMT,TRAN_TYPE,PAY_MEAN,CARD_BIN
KPAY2026090400051,A90400051,ORD90400051,KPAY-001,20260904212037,16700,404,16296,승인,CARD,458544
KPAY2026090400052,A90400052,ORD90400052,KPAY-001,20260904053638,11600,281,11319,승인,CARD,452906
KPAY2026090400053,A90400053,ORD90400053,KPAY-001,20260904153628,10500,254,10246,승인,CARD,452583
KPAY2026090400054,A90400054,ORD90400054,KPAY-001,20260904135204,49100,1188,47912,승인,CARD,456069
KPAY2026090400055,A90400055,ORD90400055,KPAY-001,20260904235849,50800,1230,49570,승인,CARD,452859
KPAY2026090400056,A90400056,ORD90400056,KPAY-001,20260904080734,23400,567,22833,승인,CARD,451279
KPAY2026090400057,A90400057,ORD90400057,KPAY-001,20260904033802,79100,1914,77186,승인,CARD,456034
KPAY2026090400058,A90400058,ORD90400058,KPAY-001,20260904025641,50100,1212,48888,승인,CARD,455881
KPAY2026090400059,A90400059,ORD90400059,KPAY-001,20260904165327,130400,3156,127244,승인,CARD,452751
KPAY2026090400060,A90400060,ORD90400060,KPAY-001,20260904120925,78700,1904,76796,승인,CARD,456750
KPAY2026090400061,A90400061,ORD90400061,KPAY-001,20260904233650,15600,1423,14177,매입취소,CARD,452276
KPAY2026090400062,A90400062,ORD90400062,KPAY-001,20260904223112,79700,1928,77772,승인,CARD,451536
KPAY2026090400063,A90400063,ORD90400063,KPAY-001,20260904015033,34300,831,33469,승인,CARD,458198
KPAY2026090400064,A90400064,ORD90400064,KPAY-001,20260904234509,23300,564,22736,승인,CARD,459947
KPAY2026090400065,A90400065,ORD90400065,KPAY-001,20260904194146,10800,262,10538,승인,CARD,458748
KPAY2026090400066,A90400066,ORD90400066,KPAY-001,20260904123809,129700,3138,126562,승인,CARD,455549
KPAY2026090400067,A90400067,ORD90400067,KPAY-001,20260904221958,79100,1914,77186,승인,CARD,451031
KPAY2026090400068,A90400068,ORD90400068,KPAY-001,20260904220913,16100,389,15711,승인,CARD,454657
KPAY2026090400069,A90400069,ORD90400069,KPAY-001,20260904132616,10600,256,10344,승인,CARD,451378
KPAY2026090400070,A90400070,ORD90400070,KPAY-001,20260904224042,10500,254,10246,승인,CARD,455464
KPAY2026090400071,A90400071,ORD90400071,KPAY-001,20260904082908,16500,399,16101,승인,CARD,452668
KPAY2026090400072,A90400072,ORD90400072,KPAY-001,20260904214613,24000,581,23419,승인,CARD,453116
KPAY2026090400073,A90400073,ORD90400073,KPAY-001,20260904140924,11000,266,10734,승인,CARD,455973
KPAY2026090400074,A90400074,ORD90400074,KPAY-001,20260904235758,49600,1200,48400,승인,CARD,455742
KPAY2026090400075,A90400075,ORD90400075,KPAY-001,20260904111431,50800,1230,49570,승인,CARD,453830
KPAY2026090400076,A90400076,ORD90400076,KPAY-001,20260904002012,251300,6082,245218,승인,CARD,453805
KPAY2026090400077,A90400077,ORD90400077,KPAY-001,20260904235920,16700,404,16296,승인,CARD,451826
KPAY2026090400078,A90400078,ORD90400078,KPAY-001,20260904220411,15800,383,15417,승인,CARD,451735
KPAY2026090400079,A90400079,ORD90400079,KPAY-001,20260904154312,251900,6096,245804,매입취소,CARD,458793
KPAY2026090400080,A90400080,ORD90400080,KPAY-001,20260904070436,11800,286,11514,승인,CARD,456800
KPAY2026090400081,A90400081,ORD90400081,KPAY-001,20260904235318,11200,271,10929,승인,CARD,457816
KPAY2026090400082,A90400082,ORD90400082,KPAY-001,20260904205434,16500,399,16101,승인,CARD,454416
KPAY2026090400083,A90400083,ORD90400083,KPAY-001,20260904033804,50600,1224,49376,승인,CARD,459720
KPAY2026090400084,A90400084,ORD90400084,KPAY-001,20260904080928,16100,389,15711,승인,CARD,457368
KPAY2026090400085,A90400085,ORD90400085,KPAY-001,20260904234852,33300,806,32494,매입취소,CARD,457154
KPAY2026090400086,A90400086,ORD90400086,KPAY-001,20260904174130,50500,1222,49278,매입취소,CARD,452871
KPAY2026090400087,A90400087,ORD90400087,KPAY-001,20260904140440,130700,3163,127537,승인,CARD,453825
KPAY2026090400088,A90400088,ORD90400088,KPAY-001,20260904064112,10700,259,10441,승인,CARD,456578
KPAY2026090400089,A90400089,ORD90400089,KPAY-001,20260904083503,15400,373,15027,승인,CARD,455268
KPAY2026090400090,A90400090,ORD90400090,KPAY-001,20260904154754,130300,3154,127146,승인,CARD,452957
KPAY2026090400091,A90400091,ORD90400091,KPAY-001,20260904233657,34600,837,33763,승인,CARD,451299
KPAY2026090400092,A90400092,ORD90400092,KPAY-001,20260904053054,33700,815,32885,승인,CARD,456143
KPAY2026090400093,A90400093,ORD90400093,KPAY-001,20260904101515,33100,801,32299,승인,CARD,459013
KPAY2026090400094,A90400094,ORD90400094,KPAY-001,20260904112301,251900,6096,245804,승인,CARD,455224
KPAY2026090400095,A90400095,ORD90400095,KPAY-001,20260904234112,78100,1890,76210,승인,CARD,452378
KPAY2026090400096,A90400096,ORD90400096,KPAY-001,20260904211200,251900,6096,245804,승인,CARD,455240
KPAY2026090400097,A90400097,ORD90400097,KPAY-001,20260904073123,250300,6058,244242,승인,CARD,457402
KPAY2026090400098,A90400098,ORD90400098,KPAY-001,20260904234012,11600,281,11319,승인,CARD,459729
KPAY2026090400099,A90400099,ORD90400099,KPAY-001,20260904120843,130900,3168,127732,승인,CARD,452349
KPAY2026090400100,A90400100,ORD90400100,KPAY-001,20260904170610,10100,244,9856,승인,CARD,451966
KPAY2026090400101,A90400101,ORD90400101,KPAY-001,20260904234414,11600,281,11319,승인,CARD,452367
KPAY2026090400102,A90400102,ORD90400102,KPAY-001,20260904135620,16900,409,16491,승인,CARD,457877
KPAY2026090400103,A90400103,ORD90400103,KPAY-001,20260904190453,11800,286,11514,승인,CARD,453580
KPAY2026090400104,A90400104,ORD90400104,KPAY-001,20260904163954,16300,395,15905,매입취소,CARD,452943
KPAY2026090400105,A90400105,ORD90400105,KPAY-001,20260904211630,251800,6094,245706,승인,CARD,454244
KPAY2026090400106,A90400106,ORD90400106,KPAY-001,20260904234000,10200,246,9954,승인,CARD,456685
KPAY2026090400107,A90400107,ORD90400107,KPAY-001,20260904201728,130000,3146,126854,매입취소,CARD,455017
KPAY2026090400108,A90400108,ORD90400108,KPAY-001,20260904041523,49900,1208,48692,승인,CARD,459059
KPAY2026090400109,A90400109,ORD90400109,KPAY-001,20260904114914,78000,1888,76112,승인,CARD,455098
KPAY2026090400110,A90400110,ORD90400110,KPAY-001,20260904014710,10600,256,10344,승인,CARD,453575
KPAY2026090400111,A90400111,ORD90400111,KPAY-001,20260904170908,10300,250,10050,승인,CARD,453610
KPAY2026090400112,A90400112,ORD90400112,KPAY-001,20260904081114,251000,6074,244926,승인,CARD,456299
KPAY2026090400113,A90400113,ORD90400113,KPAY-001,20260904013222,15400,373,15027,승인,CARD,458776
KPAY2026090400114,A90400114,ORD90400114,KPAY-001,20260904010610,10300,250,10050,승인,CARD,457670
KPAY2026090400115,A90400115,ORD90400115,KPAY-001,20260904233816,16300,395,15905,승인,CARD,458309
KPAY2026090400116,A90400116,ORD90400116,KPAY-001,20260904090110,16000,387,15613,승인,CARD,452743
KPAY2026090400117,A90400117,ORD90400117,KPAY-001,20260904055140,130400,3156,127244,매입취소,CARD,457685
KPAY2026090400118,A90400118,ORD90400118,KPAY-001,20260904210504,49800,1206,48594,승인,CARD,454346
KPAY2026090400119,A90400119,ORD90400119,KPAY-001,20260904100237,10500,254,10246,승인,CARD,454937
KPAY2026090400120,A90400120,ORD90400120,KPAY-001,20260904111034,251200,6079,245121,승인,CARD,458345
KPAY2026090400121,A90400121,ORD90400121,KPAY-001,20260904233605,49900,1208,48692,승인,CARD,457593
KPAY2026090400122,A90400122,ORD90400122,KPAY-001,20260904233251,30500,399,30101,승인,CARD,455645
KPAY2026090400123,A90400123,ORD90400123,KPAY-001,20260904094923,129600,3136,126464,승인,CARD,458943
KPAY2026090400124,A90400124,ORD90400124,KPAY-001,20260904233940,16800,407,16393,승인,CARD,455304
KPAY2026090400125,A90400125,ORD90400125,KPAY-001,20260904122447,251800,6094,245706,승인,CARD,456630
KPAY2026090400126,A90400126,ORD90400126,KPAY-001,20260904155225,79100,1914,77186,승인,CARD,453129
KPAY2026090400127,A90400127,ORD90400127,KPAY-001,20260904234837,11300,274,11026,승인,CARD,453250
KPAY2026090400128,A90400128,ORD90400128,KPAY-001,20260904071217,49200,1190,48010,승인,CARD,457177
KPAY2026090400129,A90400129,ORD90400129,KPAY-001,20260904063407,79900,1934,77966,승인,CARD,455477
KPAY2026090400130,A90400130,ORD90400130,KPAY-001,20260904234124,16500,399,16101,승인,CARD,452878
KPAY2026090400131,A90400131,ORD90400131,KPAY-001,20260904090038,15700,380,15320,승인,CARD,456018
KPAY2026090400132,A90400132,ORD90400132,KPAY-001,20260904034438,79500,1924,77576,승인,CARD,454365
KPAY2026090400133,A90400133,ORD90400133,KPAY-001,20260904215923,250600,6064,244536,승인,CARD,453826
KPAY2026090400134,A90400134,ORD90400134,KPAY-001,20260904044008,250300,6058,244242,승인,CARD,452094
KPAY2026090400135,A90400135,ORD90400135,KPAY-001,20260904080541,50600,1224,49376,승인,CARD,452538
KPAY2026090400136,A90400136,ORD90400136,KPAY-001,20260904030223,251300,6082,245218,승인,CARD,457868
KPAY2026090400137,A90400137,ORD90400137,KPAY-001,20260904201150,24200,585,23615,승인,CARD,456565
KPAY2026090400138,A90400138,ORD90400138,KPAY-001,20260904202650,11400,276,11124,승인,CARD,453042
KPAY2026090400139,A90400139,ORD90400139,KPAY-001,20260904113429,24700,597,24103,승인,CARD,452148
KPAY2026090400140,A90400140,ORD90400140,KPAY-001,20260904092848,16200,392,15808,승인,CARD,453923
KPAY2026090400141,A90400141,ORD90400141,KPAY-001,20260904141746,49000,1186,47814,승인,CARD,452942
KPAY2026090400142,A90400142,ORD90400142,KPAY-001,20260904020626,11400,276,11124,승인,CARD,454982
KPAY2026090400143,A90400143,ORD90400143,KPAY-001,20260904234212,129400,3132,126268,승인,CARD,459606
KPAY2026090400144,A90400144,ORD90400144,KPAY-001,20260904105547,49600,1200,48400,승인,CARD,454381
KPAY2026090400145,A90400145,ORD90400145,KPAY-001,20260904213311,15800,383,15417,승인,CARD,457291
KPAY2026090400146,A90400146,ORD90400146,KPAY-001,20260904234321,24100,583,23517,매입취소,CARD,454999
KPAY2026090400147,A90400147,ORD90400147,KPAY-001,20260904122901,78700,1904,76796,승인,CARD,452935
KPAY2026090400148,A90400148,ORD90400148,KPAY-001,20260904113745,79300,1920,77380,승인,CARD,459485
KPAY2026090400149,A90400149,ORD90400149,KPAY-001,20260904013312,251000,6074,244926,승인,CARD,459678
KPAY2026090400150,A90400150,ORD90400150,KPAY-001,20260904104804,129700,3138,126562,승인,CARD,456795
KPAY2026090400151,A90400151,ORD90400151,KPAY-001,20260904023448,49500,1198,48302,승인,CARD,451208
KPAY2026090400152,A90400152,ORD90400152,KPAY-001,20260904051345,250200,6054,244146,승인,CARD,452966
KPAY2026090400153,A90400153,ORD90400153,KPAY-001,20260904221448,250800,6070,244730,승인,CARD,451539
KPAY2026090400154,A90400154,ORD90400154,KPAY-001,20260904114133,34400,833,33567,승인,CARD,451441
KPAY2026090400155,A90400155,ORD90400155,KPAY-001,20260904004833,130700,3163,127537,승인,CARD,451027
KPAY2026090400156,A90400156,ORD90400156,KPAY-001,20260904023540,23900,579,23321,승인,CARD,457259
KPAY2026090400157,A90400157,ORD90400157,KPAY-001,20260904103225,34500,835,33665,승인,CARD,456084
KPAY2026090400158,A90400158,ORD90400158,KPAY-001,20260904015606,251300,6082,245218,승인,CARD,459842
KPAY2026090400159,A90400159,ORD90400159,KPAY-001,20260904143055,16300,395,15905,매입취소,CARD,454756
KPAY2026090400160,A90400160,ORD90400160,KPAY-001,20260904120453,130300,3154,127146,승인,CARD,459842
KPAY2026090400161,A90400161,ORD90400161,KPAY-001,20260904233554,16200,392,15808,승인,CARD,454556
KPAY2026090400162,A90400162,ORD90400162,KPAY-001,20260904021715,33800,818,32982,승인,CARD,458545
KPAY2026090400163,A90400163,ORD90400163,KPAY-001,20260904014734,9900,240,9660,승인,CARD,456674
KPAY2026090400164,A90400164,ORD90400164,KPAY-001,20260904191131,15700,380,15320,승인,CARD,457720
KPAY2026090400165,A90400165,ORD90400165,KPAY-001,20260904022228,34300,831,33469,승인,CARD,455499
KPAY2026090400166,A90400166,ORD90400166,KPAY-001,20260904103315,251100,6076,245024,승인,CARD,452218
KPAY2026090400167,A90400167,ORD90400167,KPAY-001,20260904094847,16100,389,15711,승인,CARD,458646
KPAY2026090400168,A90400168,ORD90400168,KPAY-001,20260904235432,251400,6084,245316,승인,CARD,451970
KPAY2026090400169,A90400169,ORD90400169,KPAY-001,20260904045959,251300,6082,245218,승인,CARD,458824
KPAY2026090400170,A90400170,ORD90400170,KPAY-001,20260904205433,15200,367,14833,승인,CARD,455723
KPAY2026090400171,A90400171,ORD90400171,KPAY-001,20260904234710,251600,6089,245511,승인,CARD,453362
KPAY2026090400172,A90400172,ORD90400172,KPAY-001,20260904201736,50200,1214,48986,승인,CARD,457928
KPAY2026090400173,A90400173,ORD90400173,KPAY-001,20260904234243,78200,1892,76308,승인,CARD,456347
KPAY2026090400174,A90400174,ORD90400174,KPAY-001,20260904142142,10900,264,10636,승인,CARD,454970
KPAY2026090400175,A90400175,ORD90400175,KPAY-001,20260904154300,130800,3166,127634,승인,CARD,451097
KPAY2026090400176,A90400176,ORD90400176,KPAY-001,20260904203435,15400,373,15027,승인,CARD,451018
KPAY2026090400177,A90400177,ORD90400177,KPAY-001,20260904235833,49900,1208,48692,승인,CARD,458982
KPAY2026090400178,A90400178,ORD90400178,KPAY-001,20260904234003,16000,387,15613,승인,CARD,458153
KPAY2026090400179,A90400179,ORD90400179,KPAY-001,20260904093534,79300,1920,77380,승인,CARD,458560
KPAY2026090400180,A90400180,ORD90400180,KPAY-001,20260904235411,11700,283,11417,승인,CARD,456189
KPAY2026090400181,A90400181,ORD90400181,KPAY-001,20260904235009,23700,573,23127,승인,CARD,457411
KPAY2026090400182,A90400182,ORD90400182,KPAY-001,20260904171948,50400,1220,49180,승인,CARD,452526
KPAY2026090400183,A90400183,ORD90400183,KPAY-001,20260904024915,50700,1227,49473,승인,CARD,453387
KPAY2026090400184,A90400184,ORD90400184,KPAY-001,20260904235904,129900,3144,126756,승인,CARD,459864
KPAY2026090400185,A90400185,ORD90400185,KPAY-001,20260904235446,16200,392,15808,승인,CARD,457478
KPAY2026090400186,A90400186,ORD90400186,KPAY-001,20260904233831,251600,6089,245511,승인,CARD,454375
KPAY2026090400187,A90400187,ORD90400187,KPAY-001,20260904004745,23200,561,22639,승인,CARD,456426
KPAY2026090400188,A90400188,ORD90400188,KPAY-001,20260904211650,15700,380,15320,매입취소,CARD,457181
KPAY2026090400189,A90400189,ORD90400189,KPAY-001,20260904193045,10300,250,10050,승인,CARD,458753
KPAY2026090400190,A90400190,ORD90400190,KPAY-001,20260904124959,15700,380,15320,승인,CARD,455102
KPAY2026090400191,A90400191,ORD90400191,KPAY-001,20260904062753,24000,581,23419,승인,CARD,454582
KPAY2026090400192,A90400192,ORD90400192,KPAY-001,20260904055751,250000,6050,243950,승인,CARD,451390
KPAY2026090400193,A90400193,ORD90400193,KPAY-001,20260904185126,50900,1232,49668,승인,CARD,459537
KPAY2026090400194,A90400194,ORD90400194,KPAY-001,20260904183957,15500,375,15125,승인,CARD,459040
KPAY2026090400195,A90400195,ORD90400195,KPAY-001,20260904172134,250900,6072,244828,승인,CARD,459880
KPAY2026090400196,A90400196,ORD90400196,KPAY-001,20260904111723,130500,3158,127342,승인,CARD,452438
KPAY2026090400197,A90400197,ORD90400197,KPAY-001,20260904234649,33400,809,32591,매입취소,CARD,457953
KPAY2026090400198,A90400198,ORD90400198,KPAY-001,20260904223441,24700,597,24103,승인,CARD,453431
KPAY2026090400199,A90400199,ORD90400199,KPAY-001,20260904233805,129600,3136,126464,승인,CARD,456666
KPAY2026090400200,A90400200,ORD90400200,KPAY-001,20260904062428,16900,409,16491,승인,CARD,457248
KPAY2026090400201,A90400201,ORD90400201,KPAY-001,20260904125809,251400,6084,245316,승인,CARD,458964
KPAY2026090400202,A90400202,ORD90400202,KPAY-001,20260904234953,10700,259,10441,승인,CARD,454509
KPAY2026090400203,A90400203,ORD90400203,KPAY-001,20260904075349,251400,6084,245316,승인,CARD,458253
KPAY2026090400204,A90400204,ORD90400204,KPAY-001,20260904194429,33200,803,32397,승인,CARD,455180
KPAY2026090400205,A90400205,ORD90400205,KPAY-001,20260904234018,23800,576,23224,승인,CARD,458698
KPAY2026090400206,A90400206,ORD90400206,KPAY-001,20260904235650,15100,365,14735,승인,CARD,451764
KPAY2026090400207,A90400207,ORD90400207,KPAY-001,20260904105411,78000,1888,76112,승인,CARD,452700
KPAY2026090400208,A90400208,ORD90400208,KPAY-001,20260904234109,129100,3124,125976,승인,CARD,455869
KPAY2026090400209,A90400209,ORD90400209,KPAY-001,20260904025916,15600,377,15223,승인,CARD,457050
KPAY2026090400210,A90400210,ORD90400210,KPAY-001,20260904023944,49200,1190,48010,승인,CARD,457409
KPAY2026090400211,A90400211,ORD90400211,KPAY-001,20260904163208,10500,254,10246,승인,CARD,458016
KPAY2026090400212,A90400212,ORD90400212,KPAY-001,20260904013938,130200,3150,127050,승인,CARD,453429
KPAY2026090400213,A90400213,ORD90400213,KPAY-001,20260904074542,16000,387,15613,승인,CARD,452083
KPAY2026090400214,A90400214,ORD90400214,KPAY-001,20260904162127,16100,389,15711,승인,CARD,454661
KPAY2026090400215,A90400215,ORD90400215,KPAY-001,20260904055820,251800,6094,245706,승인,CARD,451072
KPAY2026090400216,A90400216,ORD90400216,KPAY-001,20260904131009,250400,6060,244340,승인,CARD,454718
KPAY2026090400217,A90400217,ORD90400217,KPAY-001,20260904161242,10300,250,10050,승인,CARD,456493
KPAY2026090400218,A90400218,ORD90400218,KPAY-001,20260904201339,79300,1920,77380,승인,CARD,455746
KPAY2026090400219,A90400219,ORD90400219,KPAY-001,20260904220735,49000,1186,47814,승인,CARD,457959
KPAY2026090400220,A90400220,ORD90400220,KPAY-001,20260904020643,50300,1218,49082,승인,CARD,455216
KPAY2026090400221,A90400221,ORD90400221,KPAY-001,20260904222949,129900,3144,126756,승인,CARD,457092
KPAY2026090400222,A90400222,ORD90400222,KPAY-001,20260904151449,10900,264,10636,승인,CARD,452114
KPAY2026090400223,A90400223,ORD90400223,KPAY-001,20260904233230,23500,569,22931,승인,CARD,454479
KPAY2026090400224,A90400224,ORD90400224,KPAY-001,20260904080531,78400,1898,76502,승인,CARD,457499
KPAY2026090400225,A90400225,ORD90400225,KPAY-001,20260904102258,24500,593,23907,승인,CARD,455118
KPAY2026090400226,A90400226,ORD90400226,KPAY-001,20260904233351,79200,1916,77284,승인,CARD,452618
KPAY2026090400227,A90400227,ORD90400227,KPAY-001,20260904235639,10400,252,10148,승인,CARD,454619
KPAY2026090400228,A90400228,ORD90400228,KPAY-001,20260904135101,130800,3166,127634,승인,CARD,455292
KPAY2026090400229,A90400229,ORD90400229,KPAY-001,20260904152734,130900,3168,127732,승인,CARD,456814
KPAY2026090400230,A90400230,ORD90400230,KPAY-001,20260904172919,33400,809,32591,승인,CARD,455716
KPAY2026090400231,A90400231,ORD90400231,KPAY-001,20260904030904,10400,252,10148,승인,CARD,459120
KPAY2026090400232,A90400232,ORD90400232,KPAY-001,20260904010343,15500,375,15125,승인,CARD,456281
KPAY2026090400233,A90400233,ORD90400233,KPAY-001,20260904235747,250400,6060,244340,승인,CARD,455540
KPAY2026090400234,A90400234,ORD90400234,KPAY-001,20260904235157,129100,3124,125976,승인,CARD,451415
KPAY2026090400235,A90400235,ORD90400235,KPAY-001,20260904092055,250000,6050,243950,승인,CARD,452179
KPAY2026090400236,A90400236,ORD90400236,KPAY-001,20260904235311,24000,581,23419,승인,CARD,459006
KPAY2026090400237,A90400237,ORD90400237,KPAY-001,20260904190244,78600,1902,76698,승인,CARD,458573
KPAY2026090400238,A90400238,ORD90400238,KPAY-001,20260904120453,24400,591,23809,승인,CARD,456804
KPAY2026090400239,A90400239,ORD90400239,KPAY-001,20260904014329,49200,1190,48010,승인,CARD,458569
